WL,1ED9,1FA2,1NLS,1M8U,193L,3EST,1ELP,1BA7,2GIF,1DOT,1A49,1HZX,2CGA,2NOP,1BLF,1QFE,1DGF,1RH5,3PMG,1CBJ,3PGK,7TIM,2DHQ,1ADO,3RN3,1PPN,1B8E,2WJN,1UBI,1LES,1NEK,1LIN,2BB2,1OVA,1XL4,1YMB,1T5S,3DNI,1FCP,2OAR,5CHA,1UNE,1IGT,1L7V,1HDA,1AIR,1FEP,3JQO,2A65,1CF3,2PSG,1A6M,1HRC,2J58,1AX8,1RHS,1J95,1BE3,1NKZ,1HNN,1AOS,1BN6,2VDF,1OFS,1HC9,1HA4,1KCW,1HK0,1K6J,1THW,2NR9,1GPB,1NQH,1PCR,4GCR,2CTS,1HA7,1N5U,1KPK,2CFQ,2DYR,1QHJ
231,-1.919616018,-2.162542748,-0.967264873,-0.416190404,-2.202100354,-0.411405524,-0.498972604,0.232624387,-2.868467209,-1.91239515,-2.57276724,-3.477319206,-0.44973027,-3.52718136,-1.834159078,-3.281818011,-2.236096043,-3.705095777,-2.499502883,-0.339416726,-2.588907804,-2.807997964,-2.543236082,-3.178260089,-0.879854767,-1.574946269,-0.823211657,-2.674248104,-1.075198555,-0.899366605,-3.071912248,-3.705580466,-0.406236862,-2.143478555,-1.728245496,-4.597001604,-2.888356423,-1.768945289,-1.052957494,-3.282099135,-0.631043181,-3.06241177,-0.646913208,-3.436201338,-4.075677846,-1.866222202,-1.08058337,-0.686017729,-4.372927328,-1.674973315,-0.505857484,-4.723885091,-2.528522961,-1.442945384,-3.833890735,-1.8433095,-3.415033763,-2.997964696,-4.289763034,-2.29663126,-0.898037492,-2.761525121,-0.92109714,-0.937194542,-0.40167986,-0.602726737,-0.663871492,-0.42214096,-2.218739223,-0.511299694,-3.721791555,-2.945056812,-1.485949171,-2.98685794,-0.275295959,-3.6633517,-4.58393251,-4.175468979,-3.810257174,-4.356489211,-3.411973184,-4.016901334
232,-1.712648985,-1.880073584,-0.83781378,-0.327042699,-1.92081775,-0.351665619,-0.404404487,0.224952679,-2.526102345,-1.630206354,-2.270913393,-3.056412904,-0.393515279,-3.083826373,-1.614559366,-2.895567222,-1.967563391,-3.266885017,-2.196448123,-0.302552169,-2.268145037,-2.467311228,-2.209413167,-2.816555928,-0.732475111,-1.339503311,-0.705540126,-2.302075148,-0.924778642,-0.783418676,-2.705389675,-3.282043239,-0.31034782,-1.867411845,-1.529428097,-4.056767258,-2.535303797,-1.576847099,-0.919825566,-2.876756642,-0.544688925,-2.70132512,-0.554696345,-3.045854885,-3.520695435,-1.648767389,-0.949221093,-0.589602596,-3.881811782,-1.459958388,-0.415144179,-4.143299845,-2.210502978,-1.289663823,-3.330844746,-1.64748892,-2.99825141,-2.620198881,-3.776460248,-2.030140661,-0.747792545,-2.413295866,-0.82502395,-0.81497719,-0.342994537,-0.500025458,-0.566275528,-0.309638274,-1.961768275,-0.446224469,-3.256591303,-2.61050747,-1.320012477,-2.615327301,-0.20207515,-3.230116102,-4.038544739,-3.66694598,-3.352701106,-3.867408273,-3.009091648,-3.536928702
233,-1.491338222,-1.621572631,-0.703891166,-0.251603762,-1.644613127,-0.294709626,-0.317676485,0.228614048,-2.197622439,-1.417420559,-1.975252735,-2.652290282,-0.33623191,-2.680670604,-1.430036251,-2.524846625,-1.707548584,-2.825721776,-1.90094995,-0.266844315,-1.969093758,-2.135750771,-1.895305191,-2.468921589,-0.591968167,-1.139087723,-0.605215784,-1.989414743,-0.788938524,-0.659024749,-2.340568655,-2.841147581,-0.230644747,-1.608663257,-1.325076008,-3.532650136,-2.22753484,-1.386018326,-0.77164099,-2.478744621,-0.456757507,-2.396498484,-0.462086065,-2.67534817,-2.997833868,-1.432725692,-0.807073451,-0.498898164,-3.389829229,-1.252608706,-0.343626196,-3.588193765,-1.889687462,-1.132946636,-2.884995723,-1.444159616,-2.586282613,-2.2607259,-3.298570818,-1.754844595,-0.63189447,-2.050757097,-0.720932018,-0.686078912,-0.289415369,-0.390675757,-0.472468367,-0.21280883,-1.716506214,-0.387200012,-2.834350786,-2.291043073,-1.121420057,-2.264859026,-0.10906831,-2.806278285,-3.506966678,-3.187763118,-2.917809328,-3.403022875,-2.609473843,-3.071220732
234,-1.315279086,-1.389890712,-0.570713951,-0.186871772,-1.38361897,-0.241387466,-0.243690225,0.221259568,-1.875524594,-1.254492602,-1.71945605,-2.277834942,-0.274239166,-2.307169022,-1.256762611,-2.180635216,-1.454855352,-2.415386458,-1.631190355,-0.238286211,-1.688463116,-1.839623544,-1.618939775,-2.144690344,-0.470703288,-0.961171266,-0.509781668,-1.683904856,-0.672772285,-0.534185214,-2.019550106,-2.426000629,-0.161795996,-1.391876325,-1.130833738,-3.037630148,-1.93047296,-1.191763865,-0.638382614,-2.106121228,-0.3778394,-2.068377153,-0.372099445,-2.319784887,-2.512565934,-1.252122037,-0.66573983,-0.427176438,-2.922609194,-1.064393784,-0.277627893,-3.0668163,-1.590379218,-0.997563036,-2.459600252,-1.259834687,-2.197652286,-1.925299347,-2.840588842,-1.530108973,-0.498917697,-1.74853533,-0.585645202,-0.556891227,-0.248854333,-0.294499417,-0.388938144,-0.151337026,-1.496093908,-0.352236826,-2.439567352,-1.972481983,-0.920076374,-1.938673543,-0.033974102,-2.441655646,-3.009663519,-2.738250404,-2.512306814,-2.945136295,-2.242507251,-2.634006876
235,-1.142768081,-1.187475563,-0.472253851,-0.15380083,-1.147926137,-0.192740485,-0.197575227,0.201156353,-1.590531056,-1.096532101,-1.487972016,-1.94041078,-0.217560812,-1.97081711,-1.098257846,-1.864475428,-1.237458191,-2.049389427,-1.38862609,-0.207585984,-1.462457388,-1.558038047,-1.378374651,-1.869554591,-0.367131553,-0.817674417,-0.443971889,-1.428306761,-0.56916331,-0.440054235,-1.712775777,-2.055787756,-0.128885839,-1.180028941,-0.970942823,-2.585012278,-1.650593519,-1.030996705,-0.543000119,-1.787183208,-0.309812486,-1.743161163,-0.309792469,-1.990971303,-2.08443352,-1.097960617,-0.554184367,-0.355073288,-2.491647482,-0.910427453,-0.223983745,-2.591557268,-1.330099696,-0.846749172,-2.093480532,-1.086954404,-1.858091562,-1.633899348,-2.416252669,-1.328111103,-0.399548685,-1.513016714,-0.472175479,-0.459579012,-0.216832518,-0.230863809,-0.321413525,-0.089833604,-1.293842108,-0.31776041,-2.07853738,-1.68929209,-0.760887055,-1.649827901,0.01030879,-2.088211219,-2.550867931,-2.319370553,-2.138594423,-2.509687174,-1.909836074,-2.228105176
236,-0.966892348,-1.011308474,-0.38446942,-0.128922462,-0.941640079,-0.15321267,-0.161445678,0.168558506,-1.341933753,-0.957256375,-1.259156415,-1.647964473,-0.180261064,-1.692733351,-0.943945528,-1.574992222,-1.041171844,-1.735828168,-1.17502401,-0.176894125,-1.255678714,-1.313732806,-1.173870614,-1.617177298,-0.259195232,-0.705809135,-0.38574522,-1.198391262,-0.468159391,-0.354147558,-1.440973121,-1.727386851,-0.106732983,-1.004475731,-0.831293123,-2.168995227,-1.39980323,-0.888303346,-0.447136699,-1.521944531,-0.258686715,-1.458844383,-0.254191613,-1.690542609,-1.719586878,-0.958990337,-0.447300641,-0.295460304,-2.103420541,-0.771720297,-0.179581426,-2.160524597,-1.123987198,-0.692375391,-1.812891499,-0.932675332,-1.582419171,-1.38235817,-2.047445234,-1.121660825,-0.322929388,-1.322627615,-0.367207999,-0.371939918,-0.179066979,-0.16578752,-0.267860705,-0.065187441,-1.106347703,-0.272199892,-1.757965468,-1.420620284,-0.591218558,-1.39421742,0.051922713,-1.75143995,-2.131957656,-1.935445583,-1.795549661,-2.120151656,-1.609691482,-1.86396356
237,-0.807837153,-0.850729614,-0.308656985,-0.106459424,-0.768195339,-0.133186968,-0.13191946,0.145118537,-1.113386939,-0.812320624,-1.063318093,-1.357242286,-0.161113893,-1.387435711,-0.810020796,-1.314333231,-0.87862629,-1.420193733,-0.974482027,-0.158220266,-1.059174867,-1.121008974,-0.977727275,-1.374546302,-0.196695642,-0.601327421,-0.318261211,-0.966251821,-0.384114899,-0.28521435,-1.189692349,-1.418941131,-0.084044997,-0.846956335,-0.716661285,-1.79201648,-1.160853318,-0.75579507,-0.370952256,-1.240821865,-0.222202344,-1.185534382,-0.210680632,-1.419814777,-1.387797132,-0.841394985,-0.365716,-0.248290107,-1.735499876,-0.662054635,-0.148624623,-1.77230452,-0.906040685,-0.572064907,-1.471326511,-0.780200877,-1.2873361,-1.135049481,-1.664543254,-0.941778231,-0.250415048,-1.10398741,-0.30654859,-0.29855743,-0.148590364,-0.119837778,-0.231457226,-0.039124238,-0.933475475,-0.225012196,-1.448132464,-1.192082632,-0.485796097,-1.148192662,0.053365466,-1.43314465,-1.750682631,-1.588524647,-1.485330744,-1.754901711,-1.3310001,-1.537806489
238,-0.672812889,-0.702687998,-0.251159649,-0.090501938,-0.607675161,-0.119388471,-0.113214622,0.11135479,-0.912750938,-0.642585828,-0.877227658,-1.092542592,-0.152094881,-1.091188883,-0.672825293,-1.090914605,-0.742307062,-1.127378041,-0.803195466,-0.145582772,-0.88537646,-0.918368441,-0.7930689,-1.151706028,-0.156424701,-0.507009408,-0.26794656,-0.781918705,-0.30164596,-0.234397466,-0.961596381,-1.145992735,-0.068232428,-0.705574625,-0.608923801,-1.473722033,-0.937660095,-0.637529905,-0.305905629,-0.994679535,-0.196432793,-0.956887993,-0.183715797,-1.168647154,-1.108268043,-0.725428012,-0.301501883,-0.209298423,-1.417734241,-0.56349004,-0.110739652,-1.438408798,-0.735951505,-0.443962041,-1.117525176,-0.65748072,-1.019447561,-0.918159938,-1.315567414,-0.779206633,-0.188466018,-0.898156386,-0.274124073,-0.243623455,-0.126403902,-0.112989324,-0.205277203,-0.019933423,-0.774945441,-0.17823547,-1.159029339,-0.998735949,-0.4056553,-0.937920941,0.035922786,-1.178410893,-1.427632323,-1.289323378,-1.211031462,-1.43760487,-1.0905339,-1.253844257
239,-0.547417247,-0.585294453,-0.206669431,-0.080197904,-0.472194575,-0.109865973,-0.097472006,0.076278154,-0.74177679,-0.546353947,-0.710383218,-0.88448517,-0.147493579,-0.887779883,-0.562890321,-0.882970695,-0.638182368,-0.916634398,-0.659718848,-0.135431239,-0.72259098,-0.736303768,-0.629535127,-0.965365318,-0.122913141,-0.430470526,-0.22739701,-0.639855291,-0.249697554,-0.195202752,-0.772625556,-0.932686337,-0.060194922,-0.573819221,-0.51111054,-1.179351024,-0.744545946,-0.535567485,-0.255528015,-0.806972453,-0.180231829,-0.743909855,-0.15604546,-0.95889648,-0.877249418,-0.613280514,-0.251618565,-0.189057596,-1.142881226,-0.505683095,-0.081876235,-1.139442014,-0.586222126,-0.354492872,-0.920144531,-0.529918494,-0.826904109,-0.734236905,-1.066387892,-0.629117655,-0.143697888,-0.675346821,-0.255108678,-0.200786938,-0.107939904,-0.095938248,-0.180964167,-0.019303283,-0.632091519,-0.144139053,-0.935409686,-0.819215206,-0.353718719,-0.757787721,0.029844694,-0.922414528,-1.135866096,-1.029516303,-0.974085546,-1.179148919,-0.876505616,-1.005575473
240,-0.448294876,-0.458920904,-0.169462861,-0.064869655,-0.347714805,-0.095315648,-0.081484044,0.056136887,-0.594494505,-0.460429678,-0.571676082,-0.686116455,-0.126303181,-0.673019974,-0.452476094,-0.705758467,-0.532074027,-0.699209718,-0.528340657,-0.125890282,-0.574161224,-0.574724429,-0.472448362,-0.770920589,-0.094102266,-0.355078159,-0.183493838,-0.468553326,-0.187029804,-0.163184706,-0.616985485,-0.724799788,-0.04502334,-0.463940982,-0.427814342,-0.935620935,-0.591877585,-0.438529386,-0.219290591,-0.616896519,-0.161695979,-0.537774754,-0.133010052,-0.770531278,-0.669117087,-0.513891758,-0.211113725,-0.179012817,-0.908383588,-0.425316616,-0.055050515,-0.888121632,-0.451431068,-0.290609497,-0.659861396,-0.412628753,-0.624370949,-0.566765501,-0.799554845,-0.507465842,-0.095475785,-0.469385415,-0.242326293,-0.166264642,-0.094256745,-0.08899548,-0.158706602,-0.031122941,-0.508203025,-0.120075849,-0.731760653,-0.641570643,-0.304692755,-0.592995939,0.021936418,-0.727450959,-0.889624391,-0.805567221,-0.77384641,-0.945729761,-0.692191425,-0.798094871
