,1A0S,1A6M,1A49,1ADO,1AIR,1AX8,1B8E,1BA7,1BE3,1BGL,1BLF,1BN6,1CBJ,1CF3,1DGF,1DOT,1ED9,1ELP,1FA2,1FCP,1FEP,1GPB,1HA4,1HA7,1HC9,1HDA,1HK0,1HNN,1HRC,1HZX,1IGT,1J95,1K6J,1KCW,1KPK,1L7V,1LES,1LIN,1M8U,1N5U,1NEK,1NKZ,1NLS,1NQH,1OFS,1OVA,1PCR,1PPN,1QFE,1QHJ,1RH5,1RHS,1T5S,1THW,1UBI,1UNE,1XL4,1YMB,2A65,1BB2,2CFQ,2CGA,2CTS,2DHQ,2DYR,2GIF,2J58,2NOP,2NR9,2OAR,2PSG,2VDF,2WJN,3DNI,3EST,3JQO,3PGK,3PMG,3RN3,4GCR,5CHA,7TIM,193L
190,5.02247,15.8042,6.48127,10.6104,3.81919,12.8251,3.9943,1.74244,9.84682,3.51627,4.19297,7.0428,1.60071,5.99043,5.63762,5.8883,5.17109,3.9273,4.9506,3.16804,0.952414,8.34181,3.50229,19.0325,-2.32779,11.8925,3.35536,5.97829,3.51654,11.9228,-0.275922,14.7084,3.54537,-0.35722,16.4,10.8411,2.42269,11.3432,4.52839,15.625,9.43634,17.6515,1.62955,4.4411,2.6232,7.37057,7.84431,3.1012,8.40202,11.9573,14.846,5.14548,10.8454,2.74898,3.65451,6.47138,4.57868,15.7075,12.8791,3.70454,13.0468,0.275366,13.4692,7.55676,8.04074,10.0288,5.21508,12.7486,11.2871,11.7859,0.956614,2.14024,9.53121,3.13782,-0.630714,2.79263,7.42272,7.32946,1.85966,5.07248,1.05084,7.85124,5.89491
191,5.36379,16.6555,6.778,11.4434,4.17436,13.1811,4.11133,1.28842,10.6002,3.72324,4.26297,7.45166,1.55154,6.17552,5.64046,6.00334,5.44483,3.98878,4.9285,3.78961,1.26521,8.70599,3.3551,19.8867,-2.14104,13.0706,3.84759,6.31096,3.76821,12.3157,-0.160176,15.0081,4.00035,-0.200221,16.8,11.4888,3.42247,12.0319,4.40141,15.9035,10.151,18.1158,2.24343,5.23159,3.31493,7.32184,8.68668,2.73729,9.1374,13.2218,15.1497,5.49799,11.2058,3.01667,3.83201,6.80725,4.95103,16.429,13.9889,3.90243,14.4517,-0.237348,14.2547,7.6727,8.84998,10.6665,5.02664,13.1311,12.238,12.2156,1.27573,2.37123,9.98098,3.48944,-1.05488,2.29495,7.5024,7.65309,2.03427,5.67336,0.607412,7.73214,6.00522
192,5.55123,17.1671,7.01859,11.9016,4.3283,13.1739,4.22748,0.624036,11.0869,3.92276,4.22161,7.95068,1.38078,6.26992,5.45466,6.06193,5.4214,3.93653,4.81478,4.35038,1.6046,8.84953,2.93413,20.2141,-1.87099,14.029,4.39699,6.48516,3.96854,12.4933,-0.0719515,14.9564,4.40279,-0.0628457,17.1,11.7936,4.18618,12.2566,4.15977,15.9425,10.5625,18.0044,2.8834,6.01873,3.887,7.26509,9.305,2.26219,9.72811,14.1853,15.1575,5.73816,11.2371,3.26135,3.91701,6.95974,5.20164,16.7458,15.0651,4.01107,15.6817,-0.847726,14.3315,7.69918,9.58271,11.1268,4.75159,13.3539,12.9007,12.5289,1.48908,2.63884,10.2516,3.72234,-1.52908,1.6743,7.69352,7.73475,2.15921,6.0425,0.00716072,7.46612,5.99826
193,5.55443,17.3342,7.2013,12.097,4.29815,12.8619,4.27084,-0.261431,11.3154,4.00252,4.07115,8.27309,1.17187,6.09619,5.06909,6.12417,5.14464,3.7472,4.56021,4.99857,1.92507,8.71946,2.51444,20.0449,-1.53735,14.6346,4.70736,6.45402,4.16809,12.3483,-0.0159841,14.4507,4.75783,0.0392064,17.1,11.88,4.75657,12.0731,3.83427,15.5985,10.6649,17.5083,3.56135,6.74324,4.34852,7.03452,9.76012,1.68101,10.1714,14.8492,14.8072,5.8259,10.9489,3.39419,3.71649,6.83356,5.30496,16.6902,16.0567,4.01834,16.7277,-1.33667,13.9503,7.61923,10.1642,11.3217,4.28692,13.2734,13.2396,12.6649,1.58631,2.99275,10.3147,3.90094,-1.96142,1.06738,7.62544,7.65833,2.17724,6.1941,-0.621811,7.04637,5.80926
194,5.45333,17.1135,7.28781,11.7863,4.1517,12.1652,4.32265,-1.30878,11.2629,4.0366,3.97165,8.52624,0.913038,5.78318,4.43844,6.2382,4.81352,3.5122,4.14148,5.57261,2.23295,8.33672,2.38674,19.3745,-1.2302,14.8465,4.96505,6.28136,4.25961,11.8748,0.0622557,13.5761,4.90299,0.137335,16.8,11.5685,5.22332,11.5181,3.36729,14.8449,10.4642,16.7207,4.08516,7.25701,4.68619,6.54785,9.97904,1.11685,10.1791,15.3533,14.0748,5.73614,10.341,3.35197,3.4212,6.52022,5.24677,16.2794,16.93,3.83806,17.355,-1.84067,13.0418,7.34942,10.4633,11.2682,3.60937,12.8901,13.2131,12.5405,1.56491,3.33187,10.225,3.82715,-2.416,0.371327,7.48588,7.23966,2.0985,6.23258,-1.13495,6.55395,5.47521
195,5.14034,16.4258,7.00071,11.0595,3.7234,11.0154,4.40997,-2.34048,10.896,3.9527,3.89986,8.53742,0.659201,5.16754,3.73672,6.21753,4.39599,3.31616,3.58952,5.94015,2.50322,7.71047,2.2784,18.1295,-0.902962,14.4953,5.08369,5.92843,4.31231,11.0453,0.122462,12.3155,5.01297,0.326101,16.2,11.0108,5.42901,10.5229,2.91804,13.7336,9.89794,15.4464,4.45486,7.54372,4.94866,5.89881,9.8883,0.519997,9.93782,15.6747,12.9117,5.46661,9.438,3.22732,3.00646,5.99496,5.03256,15.3843,17.2017,3.39691,17.6994,-2.20298,11.7808,6.86234,10.427,10.8161,2.91417,12.1938,12.7154,12.1635,1.48244,3.73464,9.79882,3.57387,-2.86396,-0.331417,6.95686,6.63343,1.93338,6.11798,-1.73614,5.97652,4.99968
196,4.69028,15.2064,6.432,10.0287,3.22095,9.51553,4.38141,-3.33043,10.0971,3.74841,3.83188,8.26031,0.387591,4.35334,3.07378,5.74179,3.95596,3.14475,2.85691,6.10802,2.71672,6.85282,2.19693,16.2087,-0.628597,13.4435,5.06512,5.38015,4.15725,9.83909,0.191497,10.5992,4.9587,0.474903,15.1,10.1499,5.37518,9.05549,2.52984,12.1491,8.89613,13.8084,4.64042,7.51973,5.05325,4.99343,9.40825,-0.0792097,9.40934,15.6206,11.2249,5.00924,8.14272,2.9698,2.43935,5.26754,4.68458,14.012,16.881,2.78305,17.388,-2.58076,10.4553,6.07158,10.0759,9.90299,2.12204,11.0179,11.7166,11.5172,1.37705,4.12525,9.0113,3.20877,-3.20498,-1.08807,6.18062,5.81708,1.59723,5.78461,-2.28281,5.24962,4.27392
197,4.10473,13.3731,5.54348,8.66812,2.5992,7.77666,4.19561,-4.26313,8.83834,3.31552,3.43548,7.51412,0.128288,3.44369,2.40206,4.80005,3.37392,2.94957,2.05098,6.07979,2.85664,5.70826,2.02366,13.7047,-0.421568,11.6423,4.84253,4.64168,3.68915,8.3005,0.261522,8.52218,4.78517,0.679732,13.4,8.86418,5.15847,7.2941,2.21113,10.1178,7.50375,11.7212,4.58037,7.18653,4.9069,3.93011,8.46491,-0.563653,8.48647,14.9857,9.10775,4.28891,6.6007,2.49921,1.82386,4.38281,4.18977,12.0776,15.7225,2.12573,16.374,-2.917,8.94077,5.05029,9.41181,8.47811,1.37807,9.59422,10.2292,10.4748,1.23078,4.4514,7.69541,2.69053,-3.49141,-1.83352,5.1616,4.72905,1.15476,5.25578,-2.77715,4.43367,3.35289
198,3.41281,11.0321,4.49133,7.04131,1.91976,5.63414,3.83658,-5.07041,7.21821,2.692,2.87397,6.52747,-0.149181,2.51611,1.68687,3.62322,2.54232,2.63183,1.1739,5.93314,2.87522,4.31317,1.45331,10.7909,-0.236843,9.27224,4.54967,3.73898,2.93875,6.57894,0.323588,6.31789,4.34231,0.843527,11.1,7.30533,4.83629,5.09926,1.96275,7.72178,5.72842,9.25155,4.27782,6.72934,4.64555,2.86805,7.12816,-0.966242,7.26184,13.677,6.77912,3.37529,4.83138,1.92625,1.18474,3.27991,3.50902,9.71641,13.7604,1.44058,14.4945,-3.22103,7.31117,3.83949,8.4724,6.7284,0.608259,7.80452,8.18199,8.96533,0.991382,4.6451,6.13373,2.09471,-3.71155,-2.4593,3.99307,3.45697,0.616682,4.57756,-3.2978,3.54109,2.25217
199,2.76314,8.4386,3.3147,5.21041,1.19525,3.24053,3.31791,-5.71454,5.38973,1.97978,2.12246,5.17499,-0.418,1.5139,0.898846,2.33753,1.57814,2.14965,0.259515,5.68321,2.81266,2.76199,0.606897,7.68007,-0.101822,6.62666,4.12835,2.77516,2.09534,4.78034,0.384887,4.11084,3.73744,0.926678,8.51,5.54451,4.46722,2.92193,1.6203,5.12017,3.81014,6.77225,3.82169,6.16089,4.3809,1.76274,5.47078,-1.26427,5.77517,11.8018,4.47496,2.33137,3.13349,1.27702,0.453605,2.12507,2.71999,7.19507,11.2182,0.743175,11.9824,-3.4194,5.47428,2.63087,7.33659,4.85769,-0.176882,5.82721,5.88301,7.09182,0.708576,4.72289,4.33851,1.49679,-3.6798,-2.97073,2.74147,2.16807,-0.0385214,3.67997,-3.73207,2.60754,1.00716
200,2.24425,5.78507,1.94581,3.44883,0.513381,1.01053,2.67602,-6.12621,3.46262,1.21093,1.20748,3.78598,-0.739083,0.545614,0.0485518,1.16663,0.645737,1.56183,-0.614193,5.35346,2.65418,1.12117,-0.244628,4.72759,-0.0201028,4.04068,3.69789,1.71079,1.27057,3.08052,0.46825,2.11119,2.85352,0.944886,5.87,3.71962,4.08167,0.860843,1.14759,2.58966,1.93984,4.40381,3.2282,5.44608,4.13427,0.709724,3.71549,-1.44599,4.14709,9.61018,2.33421,1.32739,1.54879,0.596206,-0.223664,0.979101,1.85731,4.65002,8.57971,0.0901396,9.09723,-3.5768,3.63793,1.46172,6.06753,3.09896,-0.918352,3.95643,3.58492,5.04935,0.425893,4.57406,2.54619,0.780518,-3.57447,-3.28687,1.59865,0.893828,-0.657088,2.72274,-4.0458,1.69207,-0.217735
201,1.74425,3.22777,0.635008,1.73085,-0.135485,-1.13284,2.01234,-6.28798,1.57874,0.483136,0.259062,2.32437,-1.08357,-0.398207,-0.796427,0.210903,-0.357596,0.867593,-1.36633,4.93069,2.42682,-0.423279,-1.0192,2.021,0.0440127,1.69873,3.07707,0.671482,0.496363,1.54227,0.518078,0.354557,1.91388,0.968803,3.44,2.05956,3.7543,-0.976694,0.522464,0.202416,0.257288,2.24813,2.6456,4.55361,3.90867,-0.144824,2.01557,-1.57629,2.57293,7.31925,0.445234,0.406355,0.212301,-0.0402341,-0.772974,-0.0954855,0.951042,2.28884,5.87925,-0.509885,6.26814,-3.62962,1.94329,0.362633,4.80549,1.46484,-1.61714,2.15801,1.54793,3.06128,0.115203,4.30056,0.898763,0.0308815,-3.43718,-3.4684,0.517971,-0.231841,-1.23505,1.81277,-4.28782,0.827581,-1.33318
202,1.28835,0.895979,-0.545418,0.205535,-0.708329,-2.92592,1.29395,-6.20856,-0.122277,-0.200094,-0.722846,0.824965,-1.49731,-1.42733,-1.66606,-0.72672,-1.17766,0.211884,-2.03706,4.37973,2.15224,-1.76015,-1.59092,-0.404493,0.0145395,-0.338769,2.40325,-0.222878,-0.244157,0.175151,0.549542,-1.18938,1.00837,0.9267,1.35,0.567199,3.37465,-2.5199,-0.101944,-1.91979,-1.18624,0.364356,2.11247,3.65223,3.60377,-0.959288,0.396507,-1.69898,1.1854,5.1277,-1.20648,-0.379912,-0.948063,-0.667369,-1.3311,-1.11201,0.0917738,0.177188,3.43613,-1.05606,3.53009,-3.58876,0.32446,-0.636358,3.57172,-0.0146699,-2.19388,0.507329,-0.220184,1.2458,-0.19795,3.82653,-0.558115,-0.776691,-3.24025,-3.55122,-0.435089,-1.26409,-1.78381,0.971806,-4.35762,-0.0545251,-2.31224
203,0.868159,-1.22093,-1.54209,-1.13284,-1.18973,-4.35956,0.567317,-5.95105,-1.62569,-0.75053,-1.66258,-0.424872,-1.8922,-2.34977,-2.49159,-1.59392,-1.84647,-0.327748,-2.57192,3.70681,1.81226,-2.90286,-1.91916,-2.51558,-0.0965926,-2.10521,1.60754,-1.13263,-0.973416,-1.04227,0.514822,-2.52694,0.179432,0.852839,-0.465,-0.731452,2.956,-3.8504,-0.576448,-3.78076,-2.41803,-1.28698,1.6869,2.63105,3.20766,-1.64081,-1.06905,-1.90328,-0.0864519,3.20434,-2.65128,-1.05614,-1.91174,-1.22203,-1.80008,-1.98602,-0.674622,-1.77333,1.28388,-1.51653,1.07205,-3.50604,-1.13928,-1.54311,2.31797,-1.34135,-2.62866,-0.866243,-1.6707,-0.384774,-0.504352,3.25308,-1.9198,-1.57122,-3.15533,-3.60084,-1.27372,-2.15648,-2.26101,0.260447,-4.36738,-0.937787,-3.12011
204,0.401769,-3.07243,-2.46272,-2.34642,-1.58734,-5.60992,-0.162474,-5.58895,-2.94643,-1.26527,-2.43258,-1.32756,-2.28489,-3.24203,-3.2842,-2.30026,-2.47612,-0.657232,-3.0561,2.98686,1.42068,-3.84331,-2.05093,-4.329,-0.280562,-3.60865,0.884922,-1.87108,-1.71101,-2.12781,0.442531,-3.65576,-0.59116,0.643014,-2.09,-1.83326,2.52713,-4.97896,-0.909221,-5.42389,-3.4905,-2.79247,1.2946,1.65757,2.7439,-2.29084,-2.336,-2.19843,-1.26704,1.51445,-3.9122,-1.59399,-2.85785,-1.66551,-2.12316,-2.81242,-1.35335,-3.43745,-0.72265,-1.81668,-1.14775,-3.36189,-2.55016,-2.36816,1.08875,-2.55581,-2.98055,-2.16033,-2.99846,-1.85046,-0.82952,2.59936,-3.02747,-2.30743,-3.08537,-3.64224,-2.15902,-2.90186,-2.67628,-0.245485,-4.28536,-1.84414,-3.74956
205,0.0467981,-4.6317,-3.26523,-3.45504,-1.92431,-6.52874,-0.826185,-5.15436,-4.11972,-1.65905,-3.10678,-2.13518,-2.62389,-3.99796,-3.96222,-3.00937,-2.96036,-0.874259,-3.4415,2.19508,1.02505,-4.68232,-2.06839,-5.84387,-0.487728,-4.86382,0.302927,-2.44797,-2.35235,-3.09888,0.321474,-4.6412,-1.29075,0.35646,-3.52,-2.84414,2.09448,-5.65885,-1.09579,-6.78998,-4.374,-4.10172,0.976691,0.771901,2.24165,-2.8953,-3.45233,-2.51452,-2.32653,-0.0870679,-4.95217,-2.11232,-3.63728,-1.99152,-2.33748,-3.46772,-1.89723,-4.91438,-2.49262,-2.0331,-3.06543,-3.18524,-3.8041,-3.08433,-0.0522734,-3.57591,-3.31853,-3.29727,-4.06542,-3.14593,-1.11534,1.93163,-4.02626,-2.94793,-3.00159,-3.70103,-2.99686,-3.54906,-3.02289,-0.537041,-4.11488,-2.69542,-4.23467
206,-0.277125,-5.88797,-3.94745,-4.37624,-2.19602,-7.09889,-1.38838,-4.68595,-5.12794,-1.9683,-3.64724,-2.54579,-2.86905,-4.62939,-4.42106,-3.56367,-3.29837,-1.00425,-3.79172,1.41058,0.62747,-5.43665,-1.96586,-6.97901,-0.704652,-5.79423,-0.125695,-2.97389,-2.82766,-3.91931,0.18499,-5.41686,-1.89522,-0.00432697,-4.7,-3.77132,1.61559,-6.17128,-1.28479,-7.76881,-5.07459,-5.24763,0.638566,-0.0897227,1.74046,-3.39201,-4.3571,-2.82126,-3.26638,-1.61532,-5.81522,-2.59435,-4.33406,-2.21869,-2.50317,-3.9346,-2.3208,-6.07124,-3.90248,-2.18705,-4.67797,-2.97865,-4.89968,-3.6776,-1.06219,-4.33452,-3.51185,-4.20626,-4.92217,-4.25258,-1.35948,1.40944,-4.80611,-3.48382,-2.95407,-3.63717,-3.66997,-4.03309,-3.26705,-0.734187,-3.92557,-3.40939,-4.54505
207,-0.611383,-6.88063,-4.42066,-5.0572,-2.41623,-7.47873,-1.82547,-4.22578,-5.83933,-2.20484,-3.99195,-2.85798,-3.01232,-4.97224,-4.66714,-3.82446,-3.58289,-1.13301,-4.05846,0.674,0.253778,-5.94224,-1.94015,-7.73668,-0.91841,-6.39113,-0.454086,-3.30475,-3.21484,-4.54527,0.0405905,-5.88228,-2.39393,-0.359052,-5.6,-4.39663,1.20611,-6.55489,-1.44797,-8.50991,-5.5738,-6.0604,0.313305,-0.841282,1.25949,-3.76418,-5.02758,-3.05305,-4.03914,-2.96628,-6.37916,-2.95359,-4.78492,-2.35082,-2.51414,-4.28697,-2.66996,-6.86258,-5.00541,-2.27486,-6.00052,-2.83196,-5.78394,-4.07737,-1.90493,-4.848,-3.6466,-5.04821,-5.42192,-5.13074,-1.56645,0.981382,-5.30908,-3.88164,-2.87993,-3.53853,-4.24135,-4.37118,-3.4319,-0.872847,-3.68827,-3.96554,-4.67871
208,-0.945627,-7.4942,-4.65243,-5.40617,-2.62895,-7.44687,-2.15438,-3.7728,-6.25768,-2.36322,-4.1487,-3.23951,-3.08707,-5.19366,-4.7846,-4.08965,-3.74868,-1.22885,-4.21941,0.00248504,-0.0741652,-6.24787,-1.93976,-8.11828,-1.13159,-6.6721,-0.668177,-3.39164,-3.42965,-4.89887,-0.0745717,-6.09064,-2.69233,-0.674886,-6.15,-4.82932,0.858339,-6.58444,-1.5751,-8.89575,-5.82531,-6.60249,0.0157334,-1.46447,0.810716,-3.93943,-5.42176,-3.16783,-4.58557,-3.98679,-6.61592,-3.16548,-4.99563,-2.43357,-2.47741,-4.55068,-2.91621,-7.3397,-5.74109,-2.35137,-6.89115,-2.66457,-6.51995,-4.3033,-2.58704,-5.12203,-3.64921,-5.51213,-5.68893,-5.7234,-1.71362,0.526247,-5.52898,-4.171,-2.73129,-3.36007,-4.54848,-4.60606,-3.51464,-0.937604,-3.47014,-4.38037,-4.64418
209,-1.24901,-7.75921,-4.74943,-5.53719,-2.83038,-7.36881,-2.39121,-3.33016,-6.49482,-2.46661,-4.114,-3.31777,-3.09815,-5.20845,-4.74459,-4.2292,-3.77738,-1.37972,-4.26719,-0.596027,-0.342056,-6.3132,-2.01548,-8.20331,-1.32612,-6.71459,-0.827893,-3.45973,-3.50134,-5.04932,-0.186019,-6.09409,-2.87533,-0.932195,-6.4,-5.03608,0.515216,-6.51744,-1.70939,-9.01986,-5.84798,-6.91887,-0.275355,-2.03901,0.409549,-4.00403,-5.57414,-3.22372,-4.91257,-4.54467,-6.64941,-3.28662,-4.96565,-2.4288,-2.33051,-4.62524,-3.06102,-7.51279,-6.11166,-2.39945,-7.37264,-2.55935,-6.8975,-4.38545,-3.19061,-5.16611,-3.67486,-5.69555,-5.7618,-5.99896,-1.81896,0.153041,-5.56445,-4.35921,-2.61785,-3.19618,-4.66627,-4.71718,-3.52966,-1.02788,-3.25783,-4.58952,-4.49231
210,-1.49959,-7.76703,-4.75933,-5.5905,-3.02992,-7.25099,-2.5419,-2.9193,-6.55946,-2.53857,-3.99426,-3.27672,-3.07034,-5.09902,-4.6411,-4.2169,-3.74134,-1.52363,-4.20146,-1.10648,-0.571889,-6.26292,-2.14949,-8.10713,-1.46637,-6.64525,-1.00983,-3.42182,-3.50377,-5.05672,-0.271283,-5.9504,-2.93455,-1.15311,-6.39,-5.08777,0.211757,-6.27885,-1.80793,-8.9548,-5.72302,-6.96901,-0.547254,-2.59464,0.0780753,-4.01535,-5.54448,-3.17363,-5.08989,-4.76716,-6.54498,-3.2906,-4.84911,-2.34982,-2.10478,-4.61258,-3.16976,-7.49723,-6.26122,-2.41556,-7.56029,-2.46311,-7.03959,-4.40353,-3.66947,-5.10934,-3.61802,-5.67966,-5.76675,-6.00882,-1.88226,-0.214966,-5.49359,-4.44242,-2.44911,-3.02729,-4.69762,-4.69346,-3.49498,-1.15842,-3.07115,-4.70954,-4.29575
211,-1.67294,-7.63236,-4.85876,-5.52795,-3.22003,-7.02497,-2.6318,-2.53044,-6.48236,-2.60818,-3.92746,-3.32499,-3.00809,-4.98666,-4.52999,-4.16548,-3.62145,-1.71282,-4.08485,-1.51184,-0.742689,-6.12775,-2.33835,-7.95439,-1.56631,-6.57072,-1.19333,-3.41325,-3.50563,-5.01008,-0.35573,-5.77441,-2.90162,-1.33013,-6.27,-4.98353,-0.0607699,-6.09177,-1.87145,-8.77609,-5.56288,-6.88772,-0.784302,-3.03193,-0.223975,-4.0278,-5.45651,-3.08235,-5.13962,-4.88244,-6.34197,-3.24136,-4.70641,-2.22794,-1.89228,-4.59516,-3.14044,-7.40676,-6.17017,-2.48115,-7.52352,-2.36977,-6.94716,-4.41585,-4.00974,-5.00444,-3.59612,-5.54346,-5.68612,-5.88619,-1.92737,-0.566437,-5.3886,-4.42847,-2.25809,-2.89575,-4.70834,-4.63117,-3.43318,-1.30991,-2.90976,-4.79528,-4.09971
212,-1.8693,-7.48221,-4.74899,-5.48608,-3.37208,-6.8485,-2.69806,-2.1782,-6.34142,-2.68196,-3.91343,-3.37213,-2.92077,-4.90642,-4.40359,-4.19424,-3.48554,-1.90794,-3.97133,-1.8664,-0.910585,-6.01598,-2.5376,-7.83479,-1.62131,-6.53546,-1.38827,-3.43594,-3.4785,-4.972,-0.425729,-5.67874,-2.88821,-1.50394,-6.17,-4.90016,-0.330224,-6.00766,-1.97854,-8.58117,-5.41763,-6.71659,-1.00347,-3.38874,-0.490135,-4.02948,-5.38572,-2.99278,-5.17922,-4.98906,-6.20848,-3.21349,-4.66407,-2.08174,-1.7489,-4.51855,-3.05775,-7.30626,-6.03276,-2.57904,-7.4265,-2.28038,-6.7332,-4.45705,-4.23305,-4.90639,-3.51339,-5.35871,-5.61447,-5.77217,-1.96421,-0.786247,-5.31926,-4.37711,-2.08206,-2.74681,-4.7105,-4.56242,-3.36081,-1.47984,-2.74965,-4.83168,-3.94805
213,-1.97579,-7.44311,-4.7848,-5.4639,-3.50301,-6.76763,-2.75585,-1.85645,-6.21188,-2.71686,-3.92717,-3.36182,-2.78976,-4.87961,-4.27369,-4.18475,-3.48493,-2.05147,-3.9272,-2.14244,-1.05994,-5.81777,-2.76072,-7.78198,-1.65875,-6.59636,-1.57532,-3.40476,-3.4904,-4.97041,-0.477199,-5.62915,-2.92409,-1.63814,-6.13,-4.82304,-0.567705,-6.06728,-2.08506,-8.51133,-5.33781,-6.56629,-1.19248,-3.67099,-0.726367,-4.11036,-5.3581,-2.94274,-5.24515,-5.11111,-6.13102,-3.16907,-4.65119,-1.9499,-1.58176,-4.45748,-3.007,-7.22589,-5.89985,-2.70558,-7.35293,-2.20786,-6.70192,-4.49325,-4.34874,-4.87859,-3.46399,-5.25412,-5.50063,-5.71013,-1.97251,-0.961596,-5.32259,-4.31353,-1.9412,-2.67448,-4.78096,-4.4814,-3.31101,-1.63232,-2.62576,-4.90505,-3.83885
214,-2.10046,-7.47625,-4.8342,-5.42402,-3.61751,-6.47212,-2.82207,-1.56606,-6.1624,-2.71178,-3.91739,-3.51502,-2.6568,-4.97087,-4.17436,-4.30363,-3.53046,-2.14584,-3.91016,-2.36882,-1.1775,-5.80283,-2.95888,-7.78245,-1.68379,-6.73212,-1.69397,-3.32383,-3.5474,-4.97535,-0.514523,-5.62853,-3.00965,-1.76378,-6.15,-4.81801,-0.72896,-6.03036,-2.16248,-8.44842,-5.28626,-6.49486,-1.37591,-3.88986,-0.931599,-4.18957,-5.31782,-2.91206,-5.34247,-5.20226,-6.13812,-3.10652,-4.66129,-1.78688,-1.50092,-4.39392,-2.97606,-7.23668,-5.89023,-2.83622,-7.33752,-2.10302,-6.672,-4.54951,-4.41347,-4.87247,-3.40516,-5.20388,-5.46812,-5.67238,-1.96454,-1.17185,-5.28648,-4.29011,-1.8238,-2.5849,-4.77631,-4.46327,-3.27567,-1.72372,-2.5231,-4.95922,-3.76218
215,-2.21377,-7.55496,-4.95436,-5.44424,-3.71886,-6.38988,-2.88995,-1.31569,-6.19403,-2.74341,-3.85876,-3.64989,-2.52549,-5.0382,-4.10438,-4.37103,-3.58343,-2.27006,-3.91411,-2.52495,-1.26253,-5.79628,-3.13807,-7.84237,-1.6825,-6.89218,-1.81895,-3.23306,-3.64172,-5.01956,-0.540914,-5.68436,-3.13596,-1.878,-6.2,-4.83977,-0.88366,-6.0578,-2.2313,-8.41809,-5.27392,-6.53407,-1.57237,-4.11402,-1.11023,-4.30291,-5.32147,-2.91751,-5.45593,-5.27939,-6.203,-3.08116,-4.73328,-1.62922,-1.38564,-4.31815,-2.95066,-7.29687,-5.93536,-2.94338,-7.39676,-2.04904,-6.5933,-4.61053,-4.4654,-4.8817,-3.37399,-5.31788,-5.4765,-5.62967,-1.93583,-1.34462,-5.29365,-4.26223,-1.69475,-2.49302,-4.80214,-4.48243,-3.2421,-1.8435,-2.42977,-5.00792,-3.69794
216,-2.26291,-7.71022,-5.00946,-5.51888,-3.79442,-6.33633,-2.94011,-1.09344,-6.2397,-2.74954,-3.78754,-3.77649,-2.36956,-5.08013,-4.07319,-4.35569,-3.60582,-2.3281,-3.9402,-2.61994,-1.31616,-5.84871,-3.21301,-7.94528,-1.63273,-7.06422,-1.994,-3.2253,-3.76598,-5.08474,-0.566626,-5.76532,-3.25055,-1.97259,-6.29,-4.89281,-0.981609,-6.11953,-2.26192,-8.41738,-5.26945,-6.56888,-1.73237,-4.29995,-1.23929,-4.45329,-5.37215,-2.89775,-5.57191,-5.42349,-6.30213,-3.04272,-4.82064,-1.4531,-1.30899,-4.34341,-2.9735,-7.41567,-6.00917,-2.98126,-7.52598,-1.99665,-6.54995,-4.70288,-4.51641,-4.92282,-3.31814,-5.45777,-5.54491,-5.59987,-1.90243,-1.45546,-5.38288,-4.24441,-1.60084,-2.41584,-4.83771,-4.51994,-3.17911,-1.8888,-2.35154,-5.01003,-3.67847
217,-2.35268,-7.87924,-5.01678,-5.5679,-3.83466,-6.30186,-2.95232,-0.883085,-6.30682,-2.74815,-3.73458,-3.91727,-2.19873,-5.09979,-4.05196,-4.29123,-3.57122,-2.33462,-3.94899,-2.66527,-1.31971,-5.83907,-3.29751,-8.06722,-1.55151,-7.2201,-2.10331,-3.21026,-3.94912,-5.17076,-0.572256,-5.85523,-3.37517,-2.03542,-6.41,-4.93539,-1.0518,-6.35276,-2.22407,-8.40694,-5.33786,-6.60151,-1.85338,-4.34665,-1.33427,-4.60366,-5.42395,-2.89985,-5.66325,-5.63905,-6.34644,-3.01403,-4.87694,-1.24001,-1.3005,-4.41392,-2.92528,-7.53598,-6.10442,-2.98095,-7.71852,-1.92502,-6.53569,-4.78477,-4.57525,-4.973,-3.23777,-5.64864,-5.57065,-5.64581,-1.8688,-1.5323,-5.45347,-4.22044,-1.48253,-2.37073,-4.86981,-4.52349,-3.10937,-1.96316,-2.27143,-5.06418,-3.65969
218,-2.46587,-8.07312,-4.86556,-5.64417,-3.82723,-6.32936,-2.90637,-0.691458,-6.39942,-2.75659,-3.64892,-4.03413,-2.02515,-5.00231,-4.0472,-4.27349,-3.51686,-2.28579,-3.94441,-2.66875,-1.34024,-5.82339,-3.29028,-8.18214,-1.43162,-7.37053,-2.18469,-3.21246,-4.08148,-5.28005,-0.569401,-5.94689,-3.52329,-2.07005,-6.63,-5.13376,-1.11406,-6.52596,-2.10208,-8.46832,-5.40375,-6.54981,-1.93332,-4.29071,-1.37855,-4.68845,-5.49278,-2.90697,-5.75744,-5.86556,-6.42015,-2.95319,-4.99344,-1.01007,-1.29447,-4.54805,-2.8757,-7.68787,-6.23847,-2.93093,-7.85465,-1.81393,-6.60103,-4.85555,-4.64116,-5.01463,-3.14469,-5.77936,-5.58678,-5.77109,-1.82741,-1.56465,-5.62898,-4.16025,-1.37701,-2.27457,-4.91773,-4.53488,-3.02803,-1.95549,-2.18352,-5.05808,-3.63679
